South Carolina, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,35.8,2.2
198002,29.5,-5.6
198003,39.9,-1.9
198004,49.5,0.3
198005,57.5,-0.4
198006,64.8,-0.8
198007,70.0,0.9
198008,68.6,0.4
198009,66.1,3.1
198010,48.7,-2.3
198011,39.2,-1.6
198012,32.0,-2.4
198101,25.8,-7.8
198102,33.6,-1.5
198103,37.0,-4.8
198104,52.2,3.0
198105,54.2,-3.7
198106,69.2,3.6
198107,70.3,1.2
198108,67.4,-0.8
198109,58.4,-4.6
198110,47.4,-3.6
198111,39.0,-1.8
198112,31.6,-2.8
198201,29.0,-4.6
198202,38.5,3.4
198203,44.2,2.4
198204,48.3,-0.9
198205,58.9,1.0
198206,66.4,0.8
198207,69.9,0.8
198208,67.7,-0.5
198209,61.1,-1.9
198210,51.1,0.1
198211,44.0,3.2
198212,41.0,6.6
198301,31.5,-2.1
198302,34.2,-0.9
198303,41.7,-0.1
198304,45.0,-4.2
198305,56.6,-1.3
198306,63.2,-2.4
198307,69.2,0.1
198308,69.0,0.8
198309,61.2,-1.8
198310,52.3,1.3
198311,39.8,-1.0
198312,32.9,-1.5
198401,30.8,-2.8
198402,35.9,0.8
198403,40.8,-1.0
198404,48.3,-0.9
198405,56.3,-1.6
198406,65.2,-0.4
198407,67.9,-1.2
198408,68.2,0.0
198409,58.7,-4.3
198410,57.1,6.1
198411,37.0,-3.8
198412,40.3,5.9
198501,27.7,-5.9
198502,35.6,0.5
198503,42.9,1.1
198504,49.6,0.4
198505,58.1,0.2
198506,65.5,-0.1
198507,68.6,-0.5
198508,67.4,-0.8
198509,61.0,-2.0
198510,58.3,7.3
198511,53.2,12.4
198512,31.0,-3.4
198601,29.6,-4.0
198602,39.6,4.5
198603,41.3,-0.5
198604,48.0,-1.2
198605,58.0,0.1
198606,68.2,2.6
198607,71.4,2.3
198608,68.4,0.2
198609,64.6,1.6
198610,53.9,2.9
198611,49.8,9.0
198612,36.5,2.1
198701,32.5,-1.1
198702,34.8,-0.3
198703,41.4,-0.4
198704,46.2,-3.0
198705,59.4,1.5
198706,67.0,1.4
198707,69.4,0.3
198708,70.9,2.7
198709,64.1,1.1
198710,42.6,-8.4
198711,42.3,1.5
198712,37.3,2.9
198801,28.8,-4.8
198802,32.7,-2.4
198803,40.3,-1.5
198804,48.1,-1.1
198805,54.6,-3.3
198806,61.3,-4.3
198807,68.5,-0.6
198808,70.2,2.0
198809,64.0,1.0
198810,45.3,-5.7
198811,42.6,1.8
198812,32.0,-2.4
198901,37.4,3.8
198902,38.2,3.1
198903,44.5,2.7
198904,48.3,-0.9
198905,54.6,-3.3
198906,67.2,1.6
198907,69.5,0.4
198908,68.4,0.2
198909,64.0,1.0
198910,51.6,0.6
198911,42.5,1.7
198912,28.0,-6.4
199001,38.2,4.6
199002,42.2,7.1
199003,46.0,4.2
199004,47.9,-1.3
199005,57.9,0.0
199006,65.2,-0.4
199007,69.8,0.7
199008,69.3,1.1
199009,62.1,-0.9
199010,53.8,2.8
199011,41.9,1.1
199012,40.3,5.9
199101,36.8,3.2
199102,38.2,3.1
199103,44.8,3.0
199104,54.2,5.0
199105,63.6,5.7
199106,66.3,0.7
199107,71.6,2.5
199108,69.4,1.2
199109,62.0,-1.0
199110,50.4,-0.6
199111,38.7,-2.1
199112,37.6,3.2
199201,34.7,1.1
199202,38.9,3.8
199203,40.5,-1.3
199204,48.0,-1.2
199205,54.5,-3.4
199206,64.6,-1.0
199207,70.7,1.6
199208,67.8,-0.4
199209,63.7,0.7
199210,47.9,-3.1
199211,44.6,3.8
199212,36.1,1.7
199301,38.6,5.0
199302,34.4,-0.7
199303,39.8,-2.0
199304,44.8,-4.4
199305,57.9,0.0
199306,66.2,0.6
199307,71.8,2.7
199308,68.7,0.5
199309,64.2,1.2
199310,51.4,0.4
199311,42.2,1.4
199312,32.9,-1.5
199401,29.9,-3.7
199402,37.0,1.9
199403,43.6,1.8
199404,50.4,1.2
199405,55.0,-2.9
199406,67.9,2.3
199407,70.1,1.0
199408,67.1,-1.1
199409,61.0,-2.0
199410,51.3,0.3
199411,45.6,4.8
199412,40.3,5.9
199501,34.2,0.6
199502,34.2,-0.9
199503,44.0,2.2
199504,50.5,1.3
199505,59.3,1.4
199506,65.4,-0.2
199507,70.4,1.3
199508,70.9,2.7
199509,62.8,-0.2
199510,54.0,3.0
199511,37.9,-2.9
199512,31.4,-3.0
199601,31.9,-1.7
199602,35.3,0.2
199603,38.5,-3.3
199604,47.8,-1.4
199605,59.5,1.6
199606,65.4,-0.2
199607,70.0,0.9
199608,68.0,-0.2
199609,62.5,-0.5
199610,50.0,-1.0
199611,38.3,-2.5
199612,35.9,1.5
199701,35.4,1.8
199702,39.2,4.1
199703,47.7,5.9
199704,45.9,-3.3
199705,53.0,-4.9
199706,64.1,-1.5
199707,69.8,0.7
199708,66.1,-2.1
199709,62.9,-0.1
199710,52.0,1.0
199711,39.1,-1.7
199712,35.5,1.1
199801,38.1,4.5
199802,39.2,4.1
199803,41.6,-0.2
199804,50.5,1.3
199805,61.3,3.4
199806,68.1,2.5
199807,71.4,2.3
199808,68.3,0.1
199809,64.1,1.1
199810,52.1,1.1
199811,45.7,4.9
199812,40.9,6.5
199901,36.3,2.7
199902,36.8,1.7
199903,38.0,-3.8
199904,53.3,4.1
199905,55.9,-2.0
199906,65.2,-0.4
199907,70.7,1.6
