Missouri, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,22.4,2.8
198002,18.3,-4.9
198003,29.1,-3.2
198004,41.5,-1.4
198005,52.1,-0.6
198006,62.3,0.5
198007,70.0,3.9
198008,67.9,3.7
198009,58.3,2.1
198010,40.4,-4.2
198011,32.5,-0.3
198012,24.5,1.0
198101,19.6,0.0
198102,23.3,0.1
198103,32.9,0.6
198104,49.6,6.7
198105,49.4,-3.3
198106,63.8,2.0
198107,68.4,2.3
198108,63.1,-1.1
198109,54.9,-1.3
198110,44.1,-0.5
198111,35.6,2.8
198112,21.8,-1.7
198201,11.8,-7.8
198202,19.6,-3.6
198203,33.3,1.0
198204,39.0,-3.9
198205,56.2,3.5
198206,58.3,-3.5
198207,67.3,1.2
198208,63.9,-0.3
198209,55.6,-0.6
198210,43.1,-1.5
198211,34.3,1.5
198212,30.2,6.7
198301,24.0,4.4
198302,27.6,4.4
198303,34.6,2.3
198304,38.9,-4.0
198305,49.8,-2.9
198306,60.3,-1.5
198307,67.6,1.5
198308,68.3,4.1
198309,56.2,0.0
198310,46.9,2.3
198311,37.0,4.2
198312,10.6,-12.9
198401,16.8,-2.8
198402,28.8,5.6
198403,29.5,-2.8
198404,42.7,-0.2
198405,49.6,-3.1
198406,63.8,2.0
198407,63.2,-2.9
198408,63.5,-0.7
198409,54.2,-2.0
198410,48.2,3.6
198411,32.7,-0.1
198412,28.7,5.2
198501,12.0,-7.6
198502,18.4,-4.8
198503,37.3,5.0
198504,47.0,4.1
198505,54.1,1.4
198506,59.5,-2.3
198507,64.8,-1.3
198508,63.0,-1.2
198509,57.2,1.0
198510,47.4,2.8
198511,33.6,0.8
198512,15.2,-8.3
198601,21.8,2.2
198602,24.9,1.7
198603,35.2,2.9
198604,46.0,3.1
198605,55.3,2.6
198606,64.8,3.0
198607,69.1,3.0
198608,60.4,-3.8
198609,60.7,4.5
198610,46.7,2.1
198611,30.9,-1.9
198612,26.4,2.9
198701,22.0,2.4
198702,29.4,6.2
198703,36.2,3.9
198704,42.6,-0.3
198705,57.8,5.1
198706,63.8,2.0
198707,67.6,1.5
198708,65.6,1.4
198709,54.9,-1.3
198710,38.4,-6.2
198711,37.4,4.6
198712,27.6,4.1
198801,17.7,-1.9
198802,18.8,-4.4
198803,31.8,-0.5
198804,40.8,-2.1
198805,52.5,-0.2
198806,60.8,-1.0
198807,66.1,0.0
198808,66.4,2.2
198809,56.1,-0.1
198810,39.3,-5.3
198811,33.6,0.8
198812,23.5,0.0
198901,27.7,8.1
198902,16.3,-6.9
198903,32.2,-0.1
198904,43.5,0.6
198905,49.9,-2.8
198906,59.9,-1.9
198907,65.9,-0.2
198908,63.6,-0.6
198909,52.7,-3.5
198910,44.9,0.3
198911,31.5,-1.3
198912,11.1,-12.4
199001,27.9,8.3
199002,28.7,5.5
199003,36.7,4.4
199004,41.6,-1.3
199005,50.6,-2.1
199006,63.4,1.6
199007,65.9,-0.2
199008,64.1,-0.1
199009,58.9,2.7
199010,41.3,-3.3
199011,37.9,5.1
199012,22.7,-0.8
199101,18.8,-0.8
199102,27.8,4.6
199103,36.2,3.9
199104,46.7,3.8
199105,59.2,6.5
199106,64.6,2.8
199107,66.1,0.0
199108,63.5,-0.7
199109,56.2,0.0
199110,44.8,0.2
199111,29.5,-3.3
199112,28.4,4.9
199201,26.2,6.6
199202,31.0,7.8
199203,35.4,3.1
199204,42.9,0.0
199205,50.4,-2.3
199206,58.9,-2.9
199207,65.5,-0.6
199208,58.7,-5.5
199209,54.2,-2.0
199210,43.0,-1.6
199211,35.1,2.3
199212,25.4,1.9
199301,21.1,1.5
199302,21.1,-2.1
199303,31.2,-1.1
199304,41.0,-1.9
199305,52.7,0.0
199306,61.7,-0.1
199307,68.9,2.8
199308,66.8,2.6
199309,52.7,-3.5
199310,42.2,-2.4
199311,31.0,-1.8
199312,26.3,2.8
199401,18.0,-1.6
199402,21.9,-1.3
199403,33.0,0.7
199404,43.2,0.3
199405,50.2,-2.5
199406,64.5,2.7
199407,64.1,-2.0
199408,61.6,-2.6
199409,54.0,-2.2
199410,46.5,1.9
199411,38.4,5.6
199412,29.5,6.0
199501,20.8,1.2
199502,24.8,1.6
199503,34.3,2.0
199504,41.4,-1.5
199505,51.5,-1.2
199506,61.4,-0.4
199507,66.2,0.1
199508,68.7,4.5
199509,53.3,-2.9
199510,43.7,-0.9
199511,28.6,-4.2
199512,24.4,0.9
199601,17.6,-2.0
199602,23.3,0.1
199603,26.4,-5.9
199604,39.6,-3.3
199605,55.6,2.9
199606,62.4,0.6
199607,64.4,-1.7
199608,64.2,0.0
199609,53.6,-2.6
199610,44.4,-0.2
199611,30.3,-2.5
199612,24.2,0.7
199701,16.0,-3.6
199702,29.5,6.3
199703,34.3,2.0
199704,38.6,-4.3
199705,47.3,-5.4
199706,61.5,-0.3
199707,66.3,0.2
199708,63.1,-1.1
199709,57.0,0.8
199710,45.6,1.0
199711,33.1,0.3
199712,27.4,3.9
199801,27.7,8.1
199802,33.1,9.9
199803,32.8,0.5
199804,43.1,0.2
199805,58.1,5.4
199806,63.2,1.4
199807,68.8,2.7
199808,66.3,2.1
199809,62.0,5.8
199810,47.0,2.4
199811,38.3,5.5
199812,26.5,3.0
199901,22.1,2.5
199902,32.6,9.4
199903,31.4,-0.9
199904,47.0,4.1
199905,52.4,-0.3
199906,62.7,0.9
199907,69.0,2.9
199908,63.0,-1.2
199909,52.6,-3.6
199910,42.6,-2.0
199911,38.6,5.8
199912,26.8,3.3
200001,23.0,3.4
200002,31.5,8.3
200003,36.7,4.4
200004,41.4,-1.5
200005,56.0,3.3
200006,61.0,-0.8
200007,66.4,0.3
200008,68.2,4.0
200009,55.3,-0.9
200010,48.4,3.8
200011,30.4,-2.4
