Minnesota, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,40.7,0.6
198112,42.6,2.5
198212,39.0,-1.1
198312,41.4,1.3
198412,41.3,1.2
198512,38.7,-1.4
198612,41.5,1.4
198712,45.3,5.2
198812,41.6,1.5
198912,39.1,-1.0
199012,42.5,2.4
199112,41.7,1.6
199212,40.9,0.8
199312,38.9,-1.2
199412,40.9,0.8
199512,40.3,0.2
199612,37.6,-2.5
199712,40.6,0.5
199812,44.9,4.8
199912,43.7,3.6
200012,41.8,1.7
200112,43.0,2.9
200212,42.0,1.9
200312,41.5,1.4
200412,41.3,1.2
200512,43.1,3.0
200612,44.4,4.3
200712,42.4,2.3
200812,39.4,-0.7
200912,40.1,0.0
201012,42.8,2.7
201112,42.0,1.9
201212,45.2,5.1
201312,39.3,-0.8
201412,38.6,-1.5
201512,43.5,3.4
201612,44.6,4.5
201712,42.6,2.5
201812,40.6,0.5
